Category,Objective,Assets,Fees,Expense Ratio,Return 2006,3-Year Return,5-Year Return,Risk,,
Large Cap,Value,1403.0,Yes,1.13,15.9,12.3,9.6,Average,,
Large Cap,Value,1041.8,Yes,1.16,20.3,15.6,8.6,Average,,
Large Cap,Value,797.4,Yes,1.26,14.4,11.5,8.1,Low,,
Large Cap,Value,221.3,Yes,1.26,17.7,10.6,7.5,Average,,
Large Cap,Value,53.5,Yes,1.18,18.9,13.7,7.5,Average,,
Large Cap,Value,107.4,No,1.24,18.2,12.3,7.3,Low,,
Large Cap,Value,7330.5,No,0.90,15.2,12.3,9.0,Low,,
Large Cap,Value,3630.5,No,1.00,8.3,6.9,6.9,Low,,
Large Cap,Value,72.0,No,1.90,16.0,12.5,7.5,Low,,
Large Cap,Value,62.6,Yes,1.16,22.1,13.1,8.5,Low,,
Large Cap,Value,151.7,No,0.21,20.8,13.0,8.3,Low,,
Large Cap,Value,90.2,No,0.97,22.9,14.6,9.1,Average,,
Large Cap,Value,88.7,No,1.60,13.1,7.6,6.5,Average,,
Large Cap,Value,490.4,Yes,1.65,17.3,10.6,7.2,Average,,
Large Cap,Value,855.2,No,0.75,16.4,10.4,6.6,Low,,
Large Cap,Value,293.5,No,1.05,15.3,10.7,7.7,Low,,
Large Cap,Value,89.7,No,0.77,15.4,11.7,9.2,Average,,
Large Cap,Value,175.1,Yes,1.06,17.3,12.0,9.4,Low,,
Large Cap,Value,60.4,No,1.10,18.1,13.9,10.2,Average,,
Large Cap,Value,663.8,No,0.97,14.3,12.2,9.0,Low,,
Large Cap,Value,110.8,Yes,1.10,18.1,13.9,10.2,Low,,
Large Cap,Value,2318.3,No,0.83,19.0,12.1,7.5,Low,,
Large Cap,Value,13405.8,Yes,0.80,16.1,12.4,8.4,Low,,
Large Cap,Value,7709.6,Yes,0.80,16.0,13.2,9.6,Low,,
Large Cap,Value,1183.8,No,0.37,19.6,11.4,6.6,Low,,
Large Cap,Value,3212.4,No,0.32,20.6,12.7,8.6,Low,,
Large Cap,Value,1489.9,No,0.39,14.1,11.3,8.8,Low,,
Large Cap,Value,14421.4,No,0.37,19.3,12.4,8.6,Low,,
Large Cap,Value,465.0,Yes,1.34,16.6,11.5,7.8,Low,,
Large Cap,Value,67794.7,Yes,0.57,18.0,10.3,7.6,Low,,
Large Cap,Value,202.6,No,1.37,17.8,13.5,7.9,Low,,
Large Cap,Value,504.5,No,0.85,18.7,11.7,7.2,Low,,
Large Cap,Value,43.4,No,1.32,18.9,11.3,8.4,Low,,
Large Cap,Value,66.0,No,1.11,12.2,10.8,6.4,Average,,
Large Cap,Value,3283.9,Yes,1.19,13.2,9.8,6.4,Average,,
Large Cap,Value,126.7,Yes,1.35,13.6,9.6,5.9,Average,,
Large Cap,Value,133.6,Yes,1.27,15.3,8.3,6.6,Average,,
Large Cap,Value,2409.8,Yes,1.06,16.9,10.7,5.6,Average,,
Large Cap,Value,609.9,No,0.79,17.9,6.5,4.2,Low,,
Large Cap,Value,551.4,Yes,1.15,21.0,12.3,6.6,Average,,
Large Cap,Value,1521.9,Yes,1.16,16.6,10.2,6.2,Average,,
Large Cap,Value,16952.7,No,0.59,14.7,7.9,4.3,Average,,
Large Cap,Value,751.7,Yes,0.93,16.4,9.9,7.1,Low,,
Large Cap,Value,81.0,Yes,1.39,21.0,12.6,7.0,Low,,
Large Cap,Value,54.3,Yes,1.27,20.6,11.9,5.5,Low,,
Large Cap,Value,329.1,Yes,1.09,15.8,10.6,6.3,Average,,
Large Cap,Value,3793.5,Yes,0.96,14.6,9.1,6.1,Low,,
Large Cap,Value,2442.7,Yes,1.11,16.9,9.3,5.9,High,,
Large Cap,Value,361.4,Yes,0.88,17.9,11.3,5.7,Average,,
Large Cap,Value,517.2,Yes,1.21,18.3,11.4,6.6,Average,,
Large Cap,Value,115.7,Yes,1.00,20.2,12.3,6.9,Average,,
Large Cap,Value,483.3,Yes,1.29,14.1,10.1,6.9,Average,,
Large Cap,Value,2966.0,Yes,0.85,11.2,8.2,5.6,Low,,
Large Cap,Value,473.6,Yes,1.28,19.8,13.5,7.1,Low,,
Large Cap,Value,165.8,No,1.25,14.2,6.7,4.0,Average,,
Large Cap,Value,47.9,Yes,1.80,16.6,10.2,5.7,Average,,
Large Cap,Value,617.0,Yes,1.15,13.7,9.4,5.5,Average,,
Large Cap,Value,12078.7,Yes,0.89,15.8,10.6,6.8,Average,,
Large Cap,Value,250.9,Yes,1.25,9.9,10.1,6.1,Average,,
Large Cap,Value,1129.7,Yes,1.16,23.2,14.6,6.6,Low,,
Large Cap,Value,44.7,No,1.52,18.6,11.1,5.2,High,,
Large Cap,Value,67.4,Yes,1.49,20.8,13.4,7.1,Average,,
Large Cap,Value,136.4,Yes,1.61,12.9,12.9,6.3,Average,,
Large Cap,Value,94.3,Yes,1.15,17.6,9.5,6.7,Low,,
Large Cap,Value,114.3,No,2.59,17.7,10.1,5.7,Average,,
Large Cap,Value,1670.8,No,0.76,14.4,9.2,4.9,Average,,
Large Cap,Value,534.9,No,1.36,11.6,7.7,5.6,Low,,
Large Cap,Value,1485.7,No,1.01,9.6,9.0,5.7,Average,,
Large Cap,Value,225.3,Yes,1.26,17.1,12.6,7.1,Average,,
Large Cap,Value,40.5,No,1.29,15.5,11.7,2.1,High,,
Large Cap,Value,66.2,No,1.36,11.9,10.9,3.6,High,,
Large Cap,Value,48.7,Yes,1.16,10.3,8.1,4.9,Low,,
Large Cap,Value,1258.4,Yes,1.29,14.0,7.3,3.7,Average,,
Large Cap,Value,463.3,Yes,1.25,20.2,13.3,2.2,High,,
Large Cap,Value,810.6,Yes,1.19,14.7,7.3,3.7,Low,,
Large Cap,Value,93.2,Yes,1.34,12.1,7.7,4.0,Low,,
Large Cap,Value,246.3,No,1.23,22.4,10.0,3.7,Average,,
Large Cap,Value,1949.2,Yes,1.14,12.8,10.3,4.3,Average,,
Large Cap,Value,581.0,Yes,0.89,11.8,7.9,4.7,Average,,
Large Cap,Value,341.4,No,0.99,14.4,6.8,0.5,High,,
Mid Cap,Growth,4707.6,No,2.08,13.4,11.3,14.3,High,,
Mid Cap,Growth,1091.8,No,1.00,17.0,15.3,9.4,Average,,
Mid Cap,Growth,3366.0,No,1.33,14.6,17.9,10.8,Average,,
Mid Cap,Growth,375.2,No,1.02,5.7,11.9,9.4,Average,,
Mid Cap,Growth,136.3,Yes,1.30,10.5,13.7,10.5,Low,,
Mid Cap,Growth,911.6,Yes,1.26,19.3,16.0,13.3,Low,,
Mid Cap,Growth,148.6,No,1.39,23.8,18.3,11.3,Average,,
Mid Cap,Growth,4506.7,No,1.95,14.6,13.2,10.6,Average,,
Mid Cap,Growth,1267.5,No,0.98,9.7,14.5,11.2,Average,,
Mid Cap,Growth,99.2,No,1.46,9.2,14.2,11.7,Average,,
Mid Cap,Growth,1088.1,No,0.63,10.1,16.7,9.4,High,,
Mid Cap,Growth,1330.5,Yes,1.29,11.6,15.3,12.2,Average,,
Mid Cap,Growth,14843.1,No,0.80,6.8,13.2,9.6,Average,,
Mid Cap,Growth,104.5,No,1.30,4.0,6.7,9.6,Average,,
Mid Cap,Growth,248.3,No,0.50,15.3,14.4,11.9,Average,,
Mid Cap,Growth,5393.9,No,0.51,16.8,15.4,10.6,High,,
Mid Cap,Growth,106.9,No,0.32,15.2,14.3,11.7,Average,,
Mid Cap,Growth,1150.0,Yes,1.36,16.2,13.7,9.3,Average,,
Mid Cap,Growth,671.3,Yes,1.23,1.4,8.8,7.6,High,,
Mid Cap,Growth,1040.6,No,1.00,17.2,15.3,7.7,High,,
Mid Cap,Growth,344.2,Yes,1.10,3.9,11.5,7.6,Average,,
Mid Cap,Growth,2036.3,No,1.00,9.1,11.2,9.2,Average,,
Mid Cap,Growth,5586.2,No,1.18,9.6,11.1,6.5,High,,
Mid Cap,Growth,128.7,No,0.89,3.8,11.8,8.5,High,,
Mid Cap,Growth,200.6,No,1.18,9.0,11.8,8.4,Average,,
Mid Cap,Growth,1450.2,No,0.96,11.9,11.8,6.6,High,,
Mid Cap,Growth,96.2,No,1.28,12.7,11.9,7.1,High,,
Mid Cap,Growth,122.0,Yes,1.26,20.9,12.7,7.5,High,,
Mid Cap,Growth,143.2,No,1.26,6.6,8.7,8.6,High,,
Mid Cap,Growth,503.5,Yes,1.19,8.7,12.2,7.7,High,,
Mid Cap,Growth,445.7,No,0.95,7.9,12.5,6.8,High,,
Mid Cap,Growth,12852.7,No,0.69,14.8,13.3,7.0,High,,
Mid Cap,Growth,2456.9,No,0.90,13.5,9.2,7.5,High,,
Mid Cap,Growth,458.7,No,1.44,9.4,12.9,9.0,Average,,
Mid Cap,Growth,49.5,No,1.10,4.4,11.3,8.8,Average,,
Mid Cap,Growth,117.5,No,0.95,12.8,13.6,7.3,High,,
Mid Cap,Growth,139.5,Yes,1.34,8.3,8.8,8.1,High,,
Mid Cap,Growth,1573.0,No,0.25,10.4,12.5,8.0,High,,
Mid Cap,Growth,1762.1,No,0.25,5.7,10.9,7.5,Average,,
Mid Cap,Growth,93.1,No,1.15,13.0,15.0,8.1,Average,,
Mid Cap,Growth,256.7,No,0.92,13.3,15.2,8.2,Average,,
Mid Cap,Growth,1800.6,No,0.95,13.2,15.0,8.2,Average,,
Mid Cap,Growth,356.8,Yes,1.21,9.5,15.3,7.8,High,,
Mid Cap,Growth,723.7,No,0.99,11.3,11.7,7.1,Average,,
Mid Cap,Growth,49.4,Yes,1.35,14.3,13.9,7.5,High,,
Mid Cap,Growth,434.9,Yes,1.22,14.1,10.7,7.3,Average,,
Mid Cap,Growth,126.1,Yes,1.50,7.4,14.6,9.3,High,,
Mid Cap,Growth,158.6,Yes,1.40,7.8,7.4,7.8,High,,
Mid Cap,Growth,270.9,Yes,1.04,10.1,16.5,9.9,High,,
Mid Cap,Growth,144.5,No,1.34,5.0,10.5,6.4,High,,
Mid Cap,Growth,384.8,No,1.04,14.6,14.7,6.3,High,,
Mid Cap,Growth,548.1,No,0.70,8.3,8.7,6.4,Average,,
Mid Cap,Growth,186.3,Yes,1.40,3.7,12.3,8.5,Average,,
Mid Cap,Growth,353.1,Yes,1.26,6.2,10.9,8.8,High,,
Mid Cap,Growth,277.4,Yes,1.34,9.4,10.4,8.0,High,,
Mid Cap,Growth,195.1,No,1.15,9.6,13.9,6.0,High,,
Mid Cap,Growth,66.5,No,2.40,3.2,10.2,8.3,High,,
Mid Cap,Growth,678.7,Yes,1.50,14.3,11.3,8.9,High,,
Mid Cap,Growth,135.0,No,1.31,4.2,11.4,6.6,High,,
Mid Cap,Growth,427.5,No,1.13,8.6,7.6,6.6,High,,
Mid Cap,Growth,959.5,Yes,1.32,9.0,15.8,8.2,Average,,
Mid Cap,Growth,827.7,No,0.39,12.7,11.1,6.9,High,,
Mid Cap,Growth,199.0,No,1.65,11.8,11.6,6.5,High,,
Mid Cap,Growth,107.6,Yes,1.40,13.9,13.5,7.6,High,,
Mid Cap,Growth,191.0,No,1.09,12.2,9.7,6.9,High,,
Mid Cap,Growth,215.2,No,1.00,-2.2,7.2,5.5,High,,
Mid Cap,Growth,1591.2,No,1.06,16.5,12.9,5.9,High,,
Mid Cap,Growth,47.4,Yes,1.40,12.0,9.9,6.6,Average,,
Mid Cap,Growth,331.0,Yes,1.36,9.7,10.6,6.5,High,,
Mid Cap,Growth,424.7,No,1.97,13.4,10.4,5.0,High,,
Mid Cap,Growth,74.1,No,0.75,7.3,10.6,5.1,High,,
Mid Cap,Growth,31.5,No,0.85,3.9,7.2,5.6,Average,,
Mid Cap,Growth,171.3,No,1.90,7.5,9.3,4.1,High,,
Mid Cap,Growth,230.5,No,1.39,1.7,7.3,4.6,High,,
Mid Cap,Growth,562.3,Yes,1.44,5.0,9.0,6.2,High,,
Mid Cap,Growth,531.3,Yes,1.09,13.1,8.2,6.9,High,,
Mid Cap,Growth,5771.8,Yes,0.96,7.5,10.3,5.4,High,,
Mid Cap,Growth,2043.4,Yes,0.93,5.8,8.3,6.0,High,,
Mid Cap,Growth,114.8,Yes,1.39,7.5,9.4,5.4,High,,
Mid Cap,Growth,102.5,Yes,1.62,8.4,13.0,6.9,Average,,
Mid Cap,Growth,486.8,Yes,1.14,10.8,12.5,6.9,High,,
Mid Cap,Growth,201.5,No,1.00,6.3,7.6,5.3,High,,
Mid Cap,Growth,1823.4,Yes,0.99,5.6,12.1,5.4,High,,
Mid Cap,Growth,46.1,Yes,1.19,2.8,9.3,6.8,Average,,
Mid Cap,Growth,149.8,Yes,1.25,4.5,6.6,5.3,High,,
Mid Cap,Growth,79.1,Yes,1.55,12.8,12.0,6.2,High,,
Mid Cap,Growth,42.9,Yes,1.35,0.0,6.3,5.5,High,,
Mid Cap,Growth,1154.4,No,1.18,6.7,9.9,5.9,High,,
Mid Cap,Growth,1282.3,Yes,1.44,8.9,13.2,7.0,Low,,
Mid Cap,Growth,266.9,Yes,1.58,6.0,10.4,5.0,High,,
Mid Cap,Growth,938.8,Yes,1.47,6.1,8.7,4.4,High,,
Mid Cap,Growth,101.4,Yes,1.74,8.9,7.9,4.9,High,,
Mid Cap,Growth,614.8,Yes,1.55,7.3,7.6,4.5,High,,
Mid Cap,Growth,184.3,No,1.30,9.0,8.3,2.0,High,,
Mid Cap,Growth,137.0,Yes,1.48,7.2,17.0,4.0,High,,
Mid Cap,Growth,99.4,Yes,1.86,13.3,12.9,4.0,High,,
Mid Cap,Growth,562.3,No,1.35,7.4,8.7,2.4,High,,
Mid Cap,Growth,688.7,Yes,1.35,2.5,10.8,4.1,High,,
Mid Cap,Growth,128.8,Yes,1.52,-0.2,5.8,2.3,High,,
Mid Cap,Growth,481.6,Yes,0.90,9.8,6.8,3.6,High,,
Mid Cap,Growth,43.6,Yes,1.25,6.2,5.5,4.5,Average,,
Mid Cap,Growth,514.4,Yes,1.33,13.3,9.6,3.6,High,,
Mid Cap,Growth,1092.8,Yes,1.09,-0.2,6.3,4.9,High,,
Mid Cap,Growth,311.8,Yes,1.52,5.4,8.3,2.7,High,,
Mid Cap,Growth,45.7,No,2.97,4.7,7.7,2.8,High,,
Mid Cap,Growth,484.1,Yes,1.37,4.8,10.2,4.2,High,,
Mid Cap,Growth,104.9,Yes,1.69,6.1,4.7,1.3,High,,
Mid Cap,Growth,3860.7,No,0.70,8.9,9.1,0.4,High,,
Mid Cap,Growth,476.7,Yes,1.29,2.2,6.3,-2.8,High,,
Mid Cap,Growth,54.7,Yes,1.85,8.8,15.4,1.7,High,,
Mid Cap,Growth,93.4,No,1.15,-4.3,3.5,-1.8,High,,
Mid Cap,Value,734.9,Yes,1.17,16.7,19.1,26.0,High,,
Mid Cap,Value,1974.8,Yes,1.39,16.4,18.9,23.1,Low,,
Mid Cap,Value,283.7,No,1.63,10.1,12.3,13.3,High,,
Mid Cap,Value,2717.5,No,1.22,14.2,18.5,17.0,Low,,
Mid Cap,Value,463.2,No,1.12,6.3,16.3,14.1,High,,
Mid Cap,Value,1361.0,No,1.08,16.0,16.2,13.1,Low,,
Mid Cap,Value,17832.0,No,0.72,15.1,16.8,14.2,Low,,
Mid Cap,Value,743.1,No,0.98,15.0,16.8,14.2,Low,,
Mid Cap,Value,3857.4,Yes,1.17,15.6,17.7,14.5,Low,,
Mid Cap,Value,78.4,No,1.09,18.3,17.6,14.1,Low,,
Mid Cap,Value,3214.5,No,1.01,16.6,17.4,17.9,Average,,
Mid Cap,Value,2936.2,No,0.25,19.9,18.5,15.7,Low,,
Mid Cap,Value,2562.5,No,0.25,14.3,14.8,13.6,Average,,
Mid Cap,Value,3409.4,Yes,1.25,16.7,15.2,15.4,Low,,
Mid Cap,Value,2905.8,Yes,0.67,21.9,16.9,13.9,Low,,
Mid Cap,Value,113.5,No,1.11,11.6,15.3,13.0,Low,,
Mid Cap,Value,2510.8,Yes,1.23,18.0,19.1,17.2,Average,,
Mid Cap,Value,340.5,Yes,1.25,26.3,17.9,15.2,Low,,
Mid Cap,Value,87.3,No,1.09,17.2,17.4,13.9,Low,,
Mid Cap,Value,6369.8,No,0.82,20.2,16.0,15.0,Low,,
Mid Cap,Value,4548.6,No,0.51,19.1,16.6,14.1,Low,,
Mid Cap,Value,816.0,No,1.34,18.3,15.6,13.9,Low,,
Mid Cap,Value,531.5,Yes,1.15,13.6,13.4,13.7,Average,,
Mid Cap,Value,133.0,No,1.53,15.7,12.5,10.6,Low,,
Mid Cap,Value,177.3,No,0.89,19.9,16.9,12.4,Low,,
Mid Cap,Value,548.6,Yes,1.25,19.5,17.5,11.8,Average,,
Mid Cap,Value,1152.9,Yes,1.08,16.7,17.4,13.9,Low,,
Mid Cap,Value,653.8,Yes,1.15,17.6,13.0,11.9,Average,,
Mid Cap,Value,257.3,No,1.13,19.5,12.9,11.9,Average,,
Mid Cap,Value,614.2,No,0.81,14.5,16.6,12.9,Low,,
Mid Cap,Value,310.4,Yes,1.38,17.0,14.0,12.8,Average,,
Mid Cap,Value,629.0,No,0.76,17.8,14.5,10.8,Low,,
Mid Cap,Value,112.5,No,1.31,16.0,10.7,10.4,Low,,
Mid Cap,Value,5381.7,No,0.92,15.3,14.8,12.8,Low,,
Mid Cap,Value,575.7,No,0.99,17.2,14.1,11.5,Low,,
Mid Cap,Value,73.6,No,1.23,14.6,15.7,11.2,Low,,
Mid Cap,Value,10883.0,No,0.91,21.6,10.5,10.8,Low,,
Mid Cap,Value,6937.5,No,1.07,12.4,14.7,11.2,Average,,
Mid Cap,Value,623.9,No,1.19,13.9,12.5,11.3,Low,,
Mid Cap,Value,1784.2,No,1.09,18.7,12.0,10.4,Average,,
Mid Cap,Value,539.1,No,0.99,11.2,13.6,11.7,Average,,
Mid Cap,Value,229.1,No,1.15,20.9,15.8,9.6,Average,,
Mid Cap,Value,1952.6,Yes,1.10,12.3,13.7,12.1,Low,,
Mid Cap,Value,641.8,Yes,1.22,15.0,14.3,10.8,Average,,
Mid Cap,Value,102.5,Yes,1.65,8.0,12.5,12.4,High,,
Mid Cap,Value,52.2,Yes,1.17,13.2,15.3,12.5,Average,,
Mid Cap,Value,99.3,No,2.40,9.8,13.6,11.9,Low,,
Mid Cap,Value,412.1,No,1.34,17.1,14.1,12.6,Average,,
Mid Cap,Value,503.5,Yes,1.29,20.3,15.5,11.7,Average,,
Mid Cap,Value,282.4,No,1.36,14.6,14.6,12.5,Low,,
Mid Cap,Value,443.8,Yes,1.30,17.1,17.9,13.9,Average,,
Mid Cap,Value,86.4,No,1.25,12.2,16.2,12.0,Average,,
Mid Cap,Value,112.6,Yes,1.51,8.5,11.7,9.4,Average,,
Mid Cap,Value,864.7,Yes,1.25,12.0,7.6,7.9,High,,
Mid Cap,Value,2742.7,Yes,1.16,10.9,8.9,8.7,Average,,
Mid Cap,Value,122.6,Yes,1.26,13.1,14.5,8.6,High,,
Mid Cap,Value,1229.3,No,1.18,10.4,11.9,8.0,High,,
Mid Cap,Value,828.4,Yes,1.32,15.6,10.6,9.8,High,,
Mid Cap,Value,49.4,No,1.45,15.6,11.9,8.6,Average,,
Mid Cap,Value,175.1,Yes,1.35,14.9,12.0,9.4,Average,,
Mid Cap,Value,294.8,No,1.32,13.3,12.5,9.0,Average,,
Mid Cap,Value,803.2,No,0.92,12.9,9.9,7.6,High,,
Mid Cap,Value,284.4,No,0.88,15.2,11.1,4.9,High,,
Small Cap,Growth,131.0,No,1.09,21.5,15.6,24.8,High,,
Small Cap,Growth,982.9,No,1.50,28.5,19.8,20.8,Low,,
Small Cap,Growth,492.9,No,1.29,13.7,15.1,20.2,Average,,
Small Cap,Growth,155.5,No,1.35,15.1,14.3,14.4,High,,
Small Cap,Growth,12210.9,No,0.74,14.5,16.3,14.7,Average,,
Small Cap,Growth,163.0,Yes,2.28,17.6,16.1,16.2,High,,
Small Cap,Growth,1261.5,No,1.23,10.4,13.0,14.9,High,,
Small Cap,Growth,121.9,No,1.18,14.8,13.8,15.0,High,,
Small Cap,Growth,56.9,No,1.70,1.7,6.4,15.1,High,,
Small Cap,Growth,622.2,No,2.14,17.0,13.6,13.5,High,,
Small Cap,Growth,717.3,No,1.49,14.1,13.7,14.5,High,,
Small Cap,Growth,236.1,Yes,1.62,19.0,16.9,10.6,High,,
Small Cap,Growth,5316.0,No,1.31,15.5,15.6,12.3,Average,,
Small Cap,Growth,429.0,No,1.52,4.5,6.2,10.5,High,,
Small Cap,Growth,45.1,No,1.10,15.7,13.1,9.4,High,,
Small Cap,Growth,174.3,No,0.99,15.3,13.2,9.9,High,,
Small Cap,Growth,73.7,No,1.60,-2.3,9.4,12.8,High,,
Small Cap,Growth,1215.3,No,1.01,8.3,13.8,12.1,Average,,
Small Cap,Growth,238.1,No,1.25,5.2,10.3,11.9,High,,
Small Cap,Growth,1261.5,No,0.25,10.3,13.5,11.1,High,,
Small Cap,Growth,1471.2,No,0.87,23.6,13.8,10.8,High,,
Small Cap,Growth,402.0,No,1.00,16.3,14.4,9.8,High,,
Small Cap,Growth,96.1,No,1.55,14.6,10.7,9.8,High,,
Small Cap,Growth,462.6,No,1.05,16.5,13.6,10.4,Average,,
Small Cap,Growth,1894.7,No,0.85,15.8,10.0,10.1,High,,
Small Cap,Growth,357.1,Yes,1.65,6.5,13.2,13.2,High,,
Small Cap,Growth,1040.2,No,1.04,11.9,14.8,11.1,High,,
Small Cap,Growth,97.2,Yes,1.19,8.5,11.9,12.6,Average,,
Small Cap,Growth,109.9,No,1.88,21.0,17.5,10.4,High,,
Small Cap,Growth,251.3,No,1.13,20.9,17.2,12.4,Average,,
Small Cap,Growth,193.7,No,1.00,22.4,15.6,11.6,High,,
Small Cap,Growth,432.3,No,1.30,15.3,13.9,10.9,Average,,
Small Cap,Growth,748.6,No,1.10,11.9,12.2,10.1,Average,,
Small Cap,Growth,2215.3,No,0.23,11.9,12.2,11.3,High,,
Small Cap,Growth,828.0,No,1.20,21.8,17.7,12.6,Average,,
Small Cap,Growth,194.9,No,1.45,12.8,12.3,11.2,High,,
Small Cap,Growth,144.3,No,2.07,17.7,11.0,8.8,High,,
Small Cap,Growth,42.1,Yes,1.40,5.3,11.0,7.8,High,,
Small Cap,Growth,1293.9,No,1.18,6.9,11.8,7.4,High,,
Small Cap,Growth,193.7,Yes,1.15,18.7,11.5,9.1,High,,
Small Cap,Growth,167.5,Yes,1.47,10.3,12.7,6.5,High,,
Small Cap,Growth,206.2,Yes,1.20,16.7,13.1,8.9,High,,
Small Cap,Growth,679.6,No,0.96,10.8,10.4,6.5,High,,
Small Cap,Growth,87.7,No,1.33,7.1,6.8,6.2,High,,
Small Cap,Growth,176.7,No,1.22,5.1,5.1,6.6,High,,
Small Cap,Growth,925.2,No,1.48,12.8,8.2,7.8,High,,
Small Cap,Growth,646.4,No,0.84,10.9,9.2,8.5,High,,
Small Cap,Growth,204.4,Yes,1.35,13.7,15.1,10.5,High,,
Small Cap,Growth,279.0,Yes,1.30,17.7,11.8,9.7,High,,
Small Cap,Growth,2687.7,No,0.25,13.1,10.8,6.8,High,,
Small Cap,Growth,83.4,Yes,1.50,15.2,10.0,7.3,High,,
Small Cap,Growth,89.6,Yes,1.01,15.8,11.0,8.7,High,,
Small Cap,Growth,452.9,No,1.29,6.2,8.0,8.6,High,,
Small Cap,Growth,211.7,No,1.54,14.8,13.3,9.0,High,,
Small Cap,Growth,173.3,No,0.95,6.4,9.3,6.8,High,,
Small Cap,Growth,53.0,No,1.25,17.8,10.8,6.6,High,,
Small Cap,Growth,194.1,No,1.42,4.9,4.6,7.8,High,,
Small Cap,Growth,226.1,Yes,1.40,6.7,11.6,8.9,Average,,
Small Cap,Growth,491.8,Yes,1.20,15.6,14.8,8.6,High,,
Small Cap,Growth,49.5,Yes,2.01,4.5,9.0,7.9,High,,
Small Cap,Growth,101.6,No,1.50,8.0,11.0,6.3,High,,
Small Cap,Growth,242.4,Yes,1.72,9.4,12.3,9.2,High,,
Small Cap,Growth,7024.8,No,0.84,7.4,12.3,9.2,High,,
Small Cap,Growth,284.3,No,1.25,13.4,10.3,7.5,High,,
Small Cap,Growth,287.2,No,1.03,8.6,8.7,8.7,High,,
Small Cap,Growth,208.4,Yes,1.61,12.8,15.7,9.5,High,,
Small Cap,Growth,8660.5,No,0.51,9.7,10.9,8.2,High,,
Small Cap,Growth,609.1,Yes,1.54,6.2,10.6,8.7,High,,
Small Cap,Growth,1269.1,No,1.18,8.2,8.8,6.3,High,,
Small Cap,Growth,146.4,Yes,1.40,22.4,13.8,9.0,High,,
Small Cap,Growth,549.7,No,1.20,9.8,9.0,6.5,High,,
Small Cap,Growth,1104.8,Yes,1.45,14.3,9.8,5.8,High,,
Small Cap,Growth,235.3,Yes,1.68,10.6,9.7,5.9,High,,
Small Cap,Growth,246.7,No,1.50,10.8,7.9,4.6,High,,
Small Cap,Growth,155.6,No,1.38,10.3,8.2,4.1,High,,
Small Cap,Growth,215.0,Yes,1.35,9.3,7.3,7.2,High,,
Small Cap,Growth,86.8,No,1.52,19.1,9.0,4.8,High,,
Small Cap,Growth,212.8,Yes,1.24,12.1,9.5,5.3,High,,
Small Cap,Growth,384.7,No,1.08,9.4,9.5,5.9,High,,
Small Cap,Growth,664.6,Yes,1.40,6.9,8.1,6.1,High,,
Small Cap,Growth,165.3,Yes,1.40,12.6,8.4,6.7,High,,
Small Cap,Growth,563.3,Yes,1.16,9.5,8.3,6.5,High,,
Small Cap,Growth,431.6,Yes,1.15,12.4,10.7,6.6,High,,
Small Cap,Growth,487.4,Yes,1.18,12.4,10.1,5.6,High,,
Small Cap,Growth,265.8,No,1.35,12.0,6.5,5.1,High,,
Small Cap,Growth,310.4,No,1.56,12.3,6.2,4.7,High,,
Small Cap,Growth,91.6,No,1.47,15.8,12.4,4.2,High,,
Small Cap,Growth,69.6,Yes,1.52,14.9,5.0,5.3,High,,
Small Cap,Growth,53.9,Yes,1.31,20.7,8.5,7.2,High,,
Small Cap,Growth,125.9,Yes,1.58,5.4,7.8,5.2,High,,
Small Cap,Growth,111.5,No,1.00,11.9,7.1,4.9,High,,
Small Cap,Growth,205.6,Yes,1.40,4.6,7.0,6.7,High,,
Small Cap,Growth,49.5,Yes,2.01,20.4,9.4,5.5,High,,
Small Cap,Growth,70.0,No,0.26,13.3,12.3,5.1,High,,
Small Cap,Growth,90.8,No,1.25,3.4,8.0,5.1,High,,
Small Cap,Growth,1359.7,No,1.22,13.4,14.2,5.8,High,,
Small Cap,Growth,311.7,No,1.48,7.3,3.3,5.3,High,,
Small Cap,Growth,133.2,Yes,0.96,9.6,4.9,3.9,High,,
Small Cap,Growth,49.3,Yes,1.20,20.2,10.6,4.6,High,,
Small Cap,Growth,131.1,No,1.25,8.6,7.2,2.6,High,,
Small Cap,Growth,256.0,No,1.45,5.1,4.9,1.1,High,,
Small Cap,Growth,41.0,Yes,1.76,17.0,9.1,2.7,High,,
Small Cap,Growth,48.6,Yes,1.44,15.9,8.8,2.8,High,,
Small Cap,Growth,109.7,No,2.40,5.5,5.3,2.9,High,,
Small Cap,Growth,437.4,Yes,1.47,12.8,8.0,2.4,High,,
Small Cap,Growth,48.7,No,1.63,8.0,13.1,1.4,High,,
Small Cap,Growth,551.9,Yes,1.26,4.8,3.4,3.1,High,,
Small Cap,Growth,70.8,Yes,1.63,6.8,5.6,4.0,High,,
Small Cap,Growth,42.0,Yes,1.73,4.30,-0.3,1.3,High,,
Small Cap,Growth,748.0,Yes,1.54,9.5,8.3,2.2,High,,
Small Cap,Growth,299.8,Yes,1.55,4.6,8.8,4.8,High,,
Small Cap,Growth,306.7,No,1.20,9.3,3.9,3.5,High,,
Small Cap,Growth,359.1,No,1.42,-2.4,6.4,-0.5,High,,
Small Cap,Growth,83.9,Yes,1.50,12.3,10.1,0.3,High,,
Small Cap,Growth,619.0,Yes,1.42,6.8,9.3,1.6,High,,
